id,kpa_id,objective_id,ref,level,kpi_name,definition,unit,baseline,y1_2026_27,y2_2027_28,y3_2028_29,y4_2029_30,y5_2030_31,direction,calculation_method,means_of_verification,data_source,frequency,responsible_dept,source_page
kpa1-001,kpa1,so1,1.1,outcome,Customs & Excise contribution to Annual Net Tax Revenue Growth Rate,1.1 Increased Tax Revenue Collection,percent,9.5%,10.0%,11.0%,11.5%,12.0%,13.0%,grow,Percentage of current actual revenue collected minus previous revenue collected divide by previous revenue collected,Revenue Collection Books,Revenue Collection Books,Quarterly,CED,58
kpa1-002,kpa1,so1,1.1,outcome,Annual Net Tax Revenue Growth Rate,1.1 Increased Tax Revenue Collection,percent,13.3%,13.8%,14.3%,14.8%,15.1%,15.6%,grow,The percentage increase in net tax revenue collected compared to the previous fiscal year,Monthly Revenue Collection Report,Monthly Revenue Collection Report,Quarterly,FND,58
kpa1-003,kpa1,so1,1.1,outcome,Percentage of Tax Revenue Target Achievement made by Customs & Excise.,1.1 Increased Tax Revenue Collection,percent,105.2%,100%,100%,100%,100%,100%,reduce,Percentage of actual revenue collected against collection target,Revenue Collection Books,Revenue Collection Books,Quarterly,CED,58
kpa1-004,kpa1,so1,1.1,outcome,Percentage of CED Revenue collected from additional assessment in Post Clearance Audit for Customs & Excise,1.1 Increased Tax Revenue Collection,percent,20%,20%,18%,17%,16%,15%,reduce,Additional revenue divided by revenue declared times 100,Revenue Collection Books,Revenue Collection Books,Quarterly,CED,58
kpa1-005,kpa1,so1,1.1,outcome,Annual Tax Revenue Growth Rate for Domestic Revenue,1.1 Increased Tax Revenue Collection,percent,16%,11.1%,13.5%,12.6%,13.6%,14.2%,reduce,Percentage of current actual revenue collected minus previous revenue collected divide by previous revenue collected,Revenue Collection Books,Revenue Collection Books,Quarterly,DRD,58
kpa1-006,kpa1,so1,1.1,outcome,Percentage of Tax Revenue Target Achievement by 2030/31 for Domestic Revenue,1.1 Increased Tax Revenue Collection,percent,101.1%,100%,100%,100%,100%,100%,reduce,Percentage of actual revenue collected against collection target,Revenue Collection Books,Revenue Collection Books,Quarterly,DRD,58
kpa1-007,kpa1,so1,1.1,outcome,Large taxpayers' contribution to Annual Net Tax Revenue Growth Rate,1.1 Increased Tax Revenue Collection,percent,30%,35%,40%,45%,50%,55%,grow,Percentage of current actual revenue collected minus previous revenue collected divided by previous revenue collected,Revenue Collection Books,Revenue Collection Books,Quarterly,LTD,58
kpa1-008,kpa1,so1,1.1,outcome,Percentage of Tax LTD Revenue Target Achievement by 2030/31 for Department of Large Taxpayers,1.1 Increased Tax Revenue Collection,percent,106.8%,100%,100%,100%,100%,100%,reduce,Percentage of actual revenue collected against collection target.,Revenue Collection Books,Revenue Collection Books,Quarterly,LTD,58
kpa1-009,kpa1,so1,1.1,outcome,Annual Gross Tax Revenue Growth Rate,1.1 Increased Tax Revenue Collection,percent,17%,13.3%,13.8%,14.3%,14.8%,15.1%,reduce,"The percentage increase in gross tax revenue collected compared to the previous fiscal year, reflecting the year-on-year growth in actual funds available to the government for national development priorities.",Revenue Collection reports. System generated reports,Revenue Collection reports,Annually,FND,58
kpa1-010,kpa1,so1,1.1,outcome,Net Tax Revenue Target Achievement Rate,1.1 Increased Tax Revenue Collection,percent,102%,100%,100%,100%,100%,100%,reduce,The ratio of actual net tax revenue collected against the annual target,Revenue Collection Report,Revenue Collection Report,Quarterly,FND,59
kpa1-011,kpa1,so1,1.1,outcome,Cost of Revenue Collection Ratio,1.1 Increased Tax Revenue Collection,percent,2.47%,≤3%,≤3%,≤3%,≤3%,≤3%,grow,"The total operational cost incurred to collect tax revenue, expressed as a percentage of the total tax revenue collected","Annual Financial Statements, Monthly Revenue Collection Report",Annual Financial Statements,Quarterly,FND,59
kpa1-012,kpa1,so1,1.1.1,output,Percentage of identified tax non-compliance cases resolved,1.1.1 Enhanced Tax Audit and Enforcement Programs,percent,100%,100%,100%,100%,100%,100%,maintain,(Number of tax non-compliance cases fully investigated and formally closed during the reporting period ÷ Total number of tax non-compliance cases identified during the same period) × 100,Case Closure Reports signed by supervisors/Investigation Reports and Assessment Notices issued (additional tax assessed),Case Closure Reports,Annually,TID,59
kpa1-013,kpa1,so1,1.1.1,output,Percentage of planned tax audits completed annually by Domestic Revenue Department,1.1.1 Enhanced Tax Audit and Enforcement Programs,percent,91%,100%,100%,100%,100%,100%,grow,Percentage of completed audit cases as per Annual Business Plan,Consolidated department audit report,Consolidated department audit report,Annually,DRD,59
kpa1-014,kpa1,so1,1.1.1,output,Percentage of revenue collected from additional assessment raised in audit and examination of tax returns by 2030/31,1.1.1 Enhanced Tax Audit and Enforcement Programs,percent,21%,21%,20%,18%,16%,15%,reduce,Percentage Actual amount realized from additional assessment against total revenue collected,IDRAS Report,IDRAS Report,Quarterly,DRD,59
kpa1-015,kpa1,so1,1.1.1,output,Percentage of planned tax audits completed annually by Large Taxpayers,1.1.1 Enhanced Tax Audit and Enforcement Programs,percent,91%,100%,100%,100%,100%,100%,grow,Percentage of completed audit cases as per Annual Business Plan,Consolidated department audit report,Consolidated department audit report,Annually,LTD,59
kpa1-016,kpa1,so1,1.1.2,output,Number of compliance risk assessments conducted using Advanced Data Analytics by June 2031,1.1.2 Advanced Data Analytics for Compliance Risk Assessment,number,4,6,6,6,6,6,grow,Count of distinct compliance risk assessments conducted using data analytics during the reporting period,Compliance Risk Assessment Reports,Compliance Risk Assessment Reports,Quarterly,RCD,59
kpa1-017,kpa1,so1,1.1.3,output,Percentage of planned Post Clearance Audits completed annually.,1.1.3 Enhanced Post Clearance Audit and Physical Verification of Cargo,percent,90%,100%,100%,100%,100%,100%,grow,Percentage of completed audit cases as per Annual Plan,TANCIS system report,TANCIS system report,Annually,CED,59
kpa1-018,kpa1,so1,1.1.3,output,Percentage of selected cargo (red) for physical verification conducted,1.1.3 Enhanced Post Clearance Audit and Physical Verification of Cargo,percent,100%,100%,100%,100%,100%,100%,maintain,Total number of cargos verified against selected,TANCIS system report,TANCIS system report,Quarterly,CED,59
kpa1-019,kpa1,so1,1.1.4,output,Percentage of revenue collected from previous tax arrears (older than twelve month),1.1.4 Optimized Current and Previous Arrears Management,percent,22%,22.5%,30%,30.5%,40%,44%,grow,Total revenue collected from previous tax arrears divide by previous arrears x 100,TANCIS system report,TANCIS system report,Quarterly,CED,59
kpa1-020,kpa1,so1,1.1.4,output,Ratio of total tax arrears (recovered) over total revenue collected for the year,1.1.4 Optimized Current and Previous Arrears Management,percent,19.9%,<21%,<21%,<21%,<21%,<21%,grow,Total tax arrears (recovered) over total revenue collected for the year x 100,TANCIS system report,TANCIS system report,Quarterly,CED,59
kpa1-021,kpa1,so1,1.1.5,output,Percentage of normal flow taxes collected against total revenue collected by 2030/31,1.1.5 Enhanced Management of Normal Flow Taxes,percent,79%,82%,85%,88%,92%,95%,grow,Revenue collected without intervention is divided by total revenue collected times 100,Revenue System,Revenue System,Quarterly,DRD,59
kpa1-022,kpa1,so1,1.1.6,output,Percentage of revenue collected from current tax arrears (within twelve month) by 2030/31,1.1.6 Enhanced Management of Current and Previous Arrears (Domestic Revenues),percent,31%,35%,40%,45%,50%,55%,grow,Percentage amount of revenue collected from current arrears against total current arrears,IDRAS Report,IDRAS Report,Quarterly,DRD,59
kpa1-023,kpa1,so1,1.1.6,output,Percentage of revenue collected from previous collectable tax arrears (older than twelve month) by 2030/31,1.1.6 Enhanced Management of Current and Previous Arrears (Domestic Revenues),percent,8%,12%,15%,18%,22%,25%,grow,Percentage amount of revenue collected from previous collectable arrears against total collectable previous arrears,IDRAS Report,IDRAS Report,Quarterly,DRD,60
kpa1-024,kpa1,so1,1.1.6,output,Ratio of total tax arrears over total revenue collected for the year,1.1.6 Enhanced Management of Current and Previous Arrears (Domestic Revenues),percent,31%,<29%,<27%,<25%,23%,<21%,reduce,Stock of arrears at the end of last year divided by total revenue collection for the year times 100,IDRAS Report,IDRAS Report,Quarterly,DRD,60
kpa1-025,kpa1,so1,1.1.7,output,Forecast Variance reduced,1.1.7 Revenue Forecasting and Macro-Fiscal modelling system strengthened,percent,± 5.2%,± 4.5%,± 4%,± 4%,± 3%,± 3%,reduce,"The year-over-year percentage decrease in identified revenue leakage attributed to inconsistent or arbitrary tax adjustments and non-systemic determination processes, reflecting increased use of system-based, rules-driven assessment mechanisms.",TRFM model,TRFM model,Annually,RPD,60
kpa1-026,kpa1,so1,1.1.8,output,Percentage of Memorandums of Understanding vetted within the prescribed timeframe.,1.1.8 Strengthened legal compliance and risk management in tax administration,percent,100%,100%,100%,100%,100%,100%,maintain,Number of submitted MOUs over Vetted MOUs,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-027,kpa1,so1,1.1.8,output,Percentage of legal opinions issued annually,1.1.8 Strengthened legal compliance and risk management in tax administration,percent,100%,100%,100%,100%,100%,100%,maintain,Number of Legal Opinions Provided over Number of Legal Opinion requests issued,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-028,kpa1,so1,1.1.9,output,Percentage of cases successfully defended,1.1.9 Improved effectiveness in tax dispute resolution & litigation management,percent,82%,84%,86%,88%,90%,92%,grow,Number of Cases won and withdrawn over Total Number of Cases with exception of partly decided cases and settled cases,Case Management System Report,Case Management System Report,Annually,LSD,60
kpa1-029,kpa1,so1,1.1.9,output,Value of government revenue protected through litigation,1.1.9 Improved effectiveness in tax dispute resolution & litigation management,number,"752,886.79 Mlls","924,067.67 Mlls","924,067.67 Mlls","924,067.67 Mlls","924,067.67 Mlls","924,067.67 Mlls",grow,Total value of won cases and withdrawn cases,Case Management System Report,Case Management System Report,Annually,LSD,60
kpa1-030,kpa1,so1,1.1.10,output,Number of tax laws/regulations reviewed or drafted,1.1.10 Strengthened legislative and regulatory framework for tax administration,number,9,9,9,9,9,9,maintain,Total Number of Laws or regulation reviewed or Drafted,Finance Act,Finance Act,Annually,LSD,60
kpa1-031,kpa1,so1,1.1.10,output,Number of legal inputs submitted to Government policy processes,1.1.10 Strengthened legislative and regulatory framework for tax administration,number,3,3,3,3,3,3,maintain,Number of Contracts reviewed over Number of Contracts submitted for review,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-032,kpa1,so1,1.1.11,output,Percentage of TRA contracts legally reviewed before signing,1.1.11 Improved contract management and legal documentation,percent,100%,100%,100%,100%,100%,100%,maintain,Number of Contracts reviewed over Number of Contracts submitted for review,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-033,kpa1,so1,1.1.12,output,Number of surveillance audits conducted to VAT exemption beneficiaries,1.1.12 Improved Integrity of the VAT Exemption System,number,31,36,36,36,36,36,grow,Total Number of Surveillance conducted over Number of identified Risky Projects,"Risk Profiling Report, Surveillance Audit Report","Risk Profiling Report, Surveillance Audit Report",Annually,RCD,61
kpa1-034,kpa1,so1,1.1.13,output,Number of Board Meetings Conducted,"1.1.13 Enhanced corporate governance and strategic oversight through timely Board deliberations, approvals, & monitoring of organizational performance",number,5,5,5,5,5,5,maintain,Number of deliberations implemented over Number of deliberations Issued.,"Board Minutes, Board Matters Arising",Board Minutes,Quarterly,RCD,61
kpa1-035,kpa1,so1,1.1.13,output,Percentage of deliberations made by the Board and implemented,"1.1.13 Enhanced corporate governance and strategic oversight through timely Board deliberations, approvals, & monitoring of organizational performance",percent,90%,100%,100%,100%,100%,100%,grow,Number of deliberations implemented over Number of deliberations Issued,"Board Minutes, Board Matters Arising",Board Minutes,Quarterly,RCD,61
kpa1-036,kpa1,so1,1.1.14,output,Average time (days) taken from Arrival of Goods to Removal (exit),1.1.14 Reduced clearance time of goods,days,8 days,8 days,7 days,6 days,5 days,4 days,reduce,(Sum of time of exit minus sum of time of arrival) over total consignments,TANCIS clearance Module and Time release report,TANCIS clearance Module,Quarterly,CED,61
